Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2020,376.20,376.60,371.85,375.10,374.079246328622887226,3609,256,1350052.00,1826,50.60,4.75,-1.10
29-December-2020,374.10,377.85,371.05,375.75,374.757966344432509846,2793,150,1046699.00,1514,54.21,6.80,1.65
28-December-2020,377.40,377.40,372.00,373.30,373.953802816901408450,3550,227,1327536.00,1415,39.86,5.40,-4.10
24-December-2020,380.00,380.00,370.40,373.15,374.587620124364047484,3538,263,1325291.00,1563,44.18,9.60,-6.85
23-December-2020,363.50,377.20,363.50,374.60,372.295166352793471437,7965,611,2965331.00,2278,28.60,13.70,11.10
22-December-2020,354.00,362.50,345.35,360.75,355.574466701352757544,15376,793,5467313.00,7738,50.33,17.15,6.75
21-December-2020,385.00,389.50,350.05,354.90,371.631016804329250925,14044,638,5219186.00,7361,52.41,39.45,-30.10
18-December-2020,397.00,399.00,384.55,386.10,389.194051682106289614,14357,516,5587659.00,5166,35.98,14.45,-10.90
17-December-2020,394.90,399.00,386.85,387.65,391.608645888360626870,11358,596,4447891.00,5933,52.24,12.15,-7.25
16-December-2020,382.25,397.80,381.20,390.90,389.180565967016491754,10672,613,4153335.00,3414,31.99,16.60,8.65
15-December-2020,373.00,384.90,373.00,378.95,378.673603965952670470,21382,1110,8096799.00,11773,55.06,11.90,5.95
14-December-2020,384.35,387.45,377.65,379.10,380.530224630182017410,16427,1200,6250970.00,8512,51.82,9.80,-5.25
11-December-2020,389.00,393.70,382.00,384.35,386.420873124147339699,4398,289,1699479.00,2043,46.45,11.70,-4.65
10-December-2020,391.00,391.00,380.90,386.00,385.352138871667699938,12904,675,4972584.00,8127,62.98,10.10,-5.00
9-December-2020,388.00,399.20,388.00,392.00,394.840713741703840713,9191,469,3628981.00,3881,42.23,11.20,4.00
8-December-2020,396.00,403.15,360.00,389.50,388.324056378404204491,25116,1172,9753147.00,7195,28.65,43.15,-6.50
7-December-2020,395.00,398.50,391.10,395.50,395.760653648663843184,26681,1367,10559290.00,14276,53.51,7.40,0.50
4-December-2020,392.00,394.55,380.80,390.35,389.413863363963244107,25030,956,9747029.00,10261,40.99,13.75,-1.65
3-December-2020,367.15,391.90,366.55,388.85,381.197269013375118921,71476,3310,27246456.00,33630,47.05,25.35,21.70
2-December-2020,365.70,373.10,360.60,365.15,366.854175561974130352,39815,1836,14606299.00,16458,41.34,12.50,-0.55
1-December-2020,349.00,364.00,349.00,361.55,360.447282252783235101,13743,758,4953627.00,4698,34.18,15.00,12.55
27-November-2020,351.95,354.40,348.35,349.45,351.406745264785465790,10348,559,3636357.00,3388,32.74,6.05,-2.50
26-November-2020,354.20,354.90,345.90,349.40,349.472608437314319667,8415,550,2940812.00,3532,41.97,9.00,-4.80
25-November-2020,360.30,364.00,351.80,353.65,356.501398285972034280,11085,669,3951818.00,5570,50.25,12.20,-6.65
24-November-2020,361.85,362.00,357.10,359.20,359.111457174638487208,4495,314,1614206.00,2069,46.03,4.90,-2.65
23-November-2020,363.30,367.00,342.15,360.50,359.759488220458879252,16257,868,5848610.00,5913,36.37,24.85,-2.80
20-November-2020,366.95,366.95,355.20,359.60,360.103402366863905325,6760,529,2434299.00,2662,39.38,11.75,-7.35
19-November-2020,357.50,367.90,352.40,359.00,361.831680952487523219,44683,2345,16167725.00,26874,60.14,15.50,1.50
18-November-2020,336.60,358.10,334.00,355.90,351.598889009125996465,27723,1570,9747376.00,15585,56.22,24.10,19.30
17-November-2020,336.00,339.50,333.60,335.55,335.644201163188504960,8769,575,2943264.00,5245,59.81,5.90,-0.45
14-November-2020,337.30,338.85,333.15,334.15,334.985207100591715976,4394,234,1471925.00,2378,54.12,5.70,-3.15
13-November-2020,335.50,337.70,329.60,332.55,333.462136481428160092,6946,410,2316228.00,2775,39.95,8.10,-2.95
12-November-2020,315.00,337.00,315.00,330.70,328.125426621160409556,62116,3357,20381839.00,22007,35.43,22.00,15.70
11-November-2020,313.05,315.90,305.00,307.65,309.515873015873015873,11214,1212,3470911.00,6795,60.59,10.90,-5.40
10-November-2020,321.00,321.00,308.65,310.55,313.919646289888504421,13005,857,4082525.00,7864,60.47,12.35,-10.45
9-November-2020,317.00,328.00,317.00,320.45,322.274719922065270336,2053,201,661630.00,1382,67.32,11.00,3.45
6-November-2020,320.00,324.85,319.90,321.60,322.358630356427713255,4994,370,1609859.00,2328,46.62,4.95,1.60
5-November-2020,321.30,321.35,314.05,319.50,317.632716790775882776,8326,405,2644610.00,4040,48.52,7.30,-1.80
