,Unnamed: 0,Unnamed: 0.1,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
0,0,0,31-December-2020,530.0,538.4,526.65,534.8,534.5539585047983,861449,9963,460490973.0,449254,52.15,11.75,4.8
1,1,1,30-December-2020,532.6,532.85,524.6,528.45,527.3735307836896,866108,13318,456762434.0,422920,48.83,8.25,-4.15
2,2,2,29-December-2020,522.8,530.8,517.75,528.95,523.2363427884433,1420678,18254,743350361.0,937675,66.0,13.05,6.15
3,3,3,28-December-2020,516.45,521.15,514.05,520.2,518.0261724917261,869004,12341,450166816.0,524778,60.39,7.1,3.75
4,4,4,24-December-2020,507.2,515.9,506.1,513.65,512.350599808146,851689,12267,436363370.0,451270,52.99,9.8,6.45
5,5,5,23-December-2020,499.0,505.4,496.3,503.6,501.6799622514434,976991,11699,490136808.0,533786,54.64,9.1,4.6
6,6,6,22-December-2020,495.1,501.75,489.0,500.5,496.235211239458,900684,12309,446951115.0,278930,30.97,12.75,5.4
7,7,7,21-December-2020,515.4,515.4,488.3,494.35,503.7628762981465,1103015,17372,555658009.0,469406,42.56,27.1,-21.05
8,8,8,18-December-2020,514.7,518.2,509.35,517.05,513.4478262812627,850294,7982,436581606.0,350061,41.17,8.85,2.35
9,9,9,17-December-2020,514.0,516.45,509.05,509.9,511.7826224662162,776704,6214,397503610.0,322822,41.56,7.4,-4.1
10,10,10,16-December-2020,520.8,521.35,511.1,512.25,515.3700961515747,634935,7424,327226512.0,188172,29.64,10.25,-8.55
11,11,11,15-December-2020,524.9,524.9,513.15,517.9,516.7481262493119,1440293,12788,744268709.0,765616,53.16,11.75,-7.0
12,12,12,14-December-2020,517.25,527.9,517.25,525.85,523.675927880809,1667240,10217,873093454.0,1008244,60.47,10.65,8.6
13,13,13,11-December-2020,508.5,516.9,506.15,515.2,511.53711096365873,1201141,14086,614428197.0,571501,47.58,10.75,6.7
14,14,14,10-December-2020,508.5,514.4,498.8,506.95,506.0658704782965,1011151,13521,511709011.0,446872,44.19,15.6,-1.55
15,15,15,9-December-2020,511.4,514.95,506.1,511.3,510.1414552196988,901211,16256,459745091.0,353595,39.24,8.85,-0.1
16,16,16,8-December-2020,511.7,511.7,505.3,508.5,507.8371190139047,1033896,20754,525050766.0,570617,55.19,6.4,-3.2
17,17,17,7-December-2020,504.1,515.5,504.1,510.65,509.36274431854173,1609886,27481,820015951.0,707076,43.92,11.4,6.55
18,18,18,4-December-2020,484.45,504.0,483.1,502.15,494.5404200133123,2357211,35527,1165736118.0,1271903,53.96,20.9,17.7
19,19,19,3-December-2020,481.7,484.8,479.0,481.9,482.49074483163264,1980461,15751,955554103.0,1199642,60.57,5.8,0.2
20,20,20,2-December-2020,487.0,487.0,472.2,480.45,478.4355814974066,856788,14265,409917865.0,168815,19.7,14.8,-6.55
21,21,21,1-December-2020,483.0,488.5,474.15,485.25,482.40915733629663,525524,7351,253517590.0,196818,37.45,14.35,2.25
22,22,22,27-November-2020,475.6,479.3,471.0,472.8,475.72652800848886,1424943,16768,677883186.0,735366,51.61,8.3,-2.8
23,23,23,26-November-2020,474.2,477.05,465.95,475.4,471.47758095014086,884248,12431,416903108.0,355390,40.19,11.1,1.2
24,24,24,25-November-2020,483.0,489.8,471.3,472.65,482.8603052502005,1865224,28810,900642630.0,585494,31.39,18.5,-10.35
25,25,25,24-November-2020,473.1,479.7,471.15,478.3,475.51572865661217,1376691,18614,654638224.0,730794,53.08,8.55,5.2
26,26,26,23-November-2020,480.4,483.2,466.6,468.3,472.3329838231089,1300868,23225,614442864.0,493419,37.93,16.6,-12.1
27,27,27,20-November-2020,478.65,483.25,468.3,480.2,475.327595022544,1097187,15963,521523258.0,513680,46.82,14.95,1.55
28,28,28,19-November-2020,490.0,493.25,476.0,478.35,486.79801568407225,982908,11937,478477664.0,324674,33.03,17.25,-11.65
29,29,29,18-November-2020,489.0,499.0,486.65,497.45,492.2722701534752,1249127,12666,614910584.0,668977,53.56,12.35,8.45
30,30,30,17-November-2020,487.0,493.15,478.45,486.2,483.3285356355482,1176606,15123,568687255.0,585979,49.8,14.7,-0.8
31,31,31,14-November-2020,489.9,489.9,484.55,486.75,487.73851895072073,164532,4416,80248594.0,68613,41.7,5.35,-3.15
32,32,32,13-November-2020,473.5,486.8,467.7,485.4,476.1419417612279,1820162,12490,866655469.0,1107965,60.87,19.1,11.9
33,33,33,12-November-2020,481.0,483.4,471.6,476.3,477.1059930065202,976338,10557,465816711.0,350211,35.87,11.8,-4.7
34,34,34,11-November-2020,484.5,490.5,472.25,486.5,482.96116271834313,2474890,36196,1195275752.0,1012413,40.91,18.25,2.0
35,35,35,10-November-2020,484.25,486.5,472.8,483.9,477.53955813317725,2300829,33350,1098736864.0,1167600,50.75,13.7,-0.35
36,36,36,9-November-2020,449.2,464.65,449.15,462.7,458.1640989951673,2182652,29114,1000012787.0,948538,43.46,15.5,13.5
37,37,37,6-November-2020,439.95,444.9,436.4,443.1,440.6351766874509,1508681,15189,664777919.0,762168,50.52,8.5,3.15
38,38,38,5-November-2020,444.0,445.5,435.65,438.3,440.0662003469741,1536714,20224,676255891.0,729000,47.44,9.85,-5.7
39,39,39,4-November-2020,436.0,442.1,425.15,437.25,434.47839559694313,1810742,28247,786728279.0,692859,38.26,16.95,1.25
40,40,40,3-November-2020,424.2,447.0,424.1,444.25,436.47866691984376,1948570,26231,850509236.0,809954,41.57,22.9,20.05
41,41,41,2-November-2020,417.95,422.85,407.2,417.1,414.68044711321744,2489034,29401,1032153732.0,911761,36.63,15.65,-0.85
42,42,42,30-October-2020,400.7,402.85,388.1,392.55,394.8329130574692,1062794,16379,419626051.0,274455,25.82,14.75,-8.15
43,43,43,29-October-2020,391.6,401.9,389.6,399.9,397.05931702127856,1124281,18125,446406246.0,329252,29.29,12.3,8.3
44,44,44,28-October-2020,412.5,412.5,395.0,396.15,404.05047367049104,1400235,11239,565765615.0,874340,62.44,17.5,-16.35
45,45,45,27-October-2020,404.55,412.25,393.0,409.85,404.4778673567442,1081231,15745,437334009.0,294433,27.23,19.25,5.3
46,46,46,26-October-2020,417.55,418.95,401.5,404.95,407.0431825734326,562727,8365,229054189.0,160094,28.45,17.45,-12.6
47,47,47,23-October-2020,416.2,420.55,411.6,416.85,416.3672534352602,754528,10306,314160751.0,240316,31.85,8.95,0.65
48,48,48,22-October-2020,416.9,419.45,407.7,412.95,414.0121134261776,790858,14367,327424792.0,197863,25.02,11.75,-3.95
49,49,49,21-October-2020,416.0,428.25,410.4,420.35,421.41180061826,1058131,12593,445908890.0,188596,17.82,17.85,4.35
50,50,50,20-October-2020,413.95,416.85,410.8,414.55,413.80034013117984,627993,6274,259863717.0,128975,20.54,6.05,0.6
51,51,51,19-October-2020,400.1,418.7,400.1,417.05,413.1641043074737,1261923,17327,521381286.0,399463,31.66,18.6,16.95
52,52,52,16-October-2020,394.2,401.3,390.55,395.95,395.9166559248047,574078,6342,227287042.0,88688,15.45,10.75,1.75
53,53,53,15-October-2020,407.0,409.85,389.2,390.9,402.86078616331673,1838244,20335,740556423.0,1005335,54.69,20.65,-16.1
54,54,54,14-October-2020,394.15,409.0,389.0,406.8,398.14118496875534,555137,6920,221022903.0,116693,21.02,20.0,12.65
55,55,55,13-October-2020,401.6,401.6,393.55,396.15,396.4204895076684,470963,5936,186699383.0,108849,23.11,8.05,-5.45
56,56,56,12-October-2020,404.25,409.95,400.55,403.85,405.6568250788456,1275912,23134,517582411.0,554706,43.48,9.4,-0.4
57,57,57,9-October-2020,388.6,403.5,386.8,401.65,397.83880051633406,2517750,41889,1001658640.0,1295652,51.46,16.7,13.05
58,58,58,8-October-2020,385.0,389.6,382.75,387.55,387.40816152764205,1221438,20045,473195050.0,597725,48.94,6.85,2.55
59,59,59,7-October-2020,379.9,384.2,374.15,382.95,380.5606954098194,529587,6873,201539997.0,140526,26.54,10.05,3.05
60,60,60,6-October-2020,376.5,381.6,375.05,380.45,378.5024886857792,903288,14792,341896756.0,408541,45.23,6.55,3.95
61,61,61,5-October-2020,370.95,382.45,370.95,373.15,377.38547334611764,737885,10261,278467080.0,160892,21.8,11.5,2.2
62,62,62,1-October-2020,357.5,370.95,357.5,369.15,366.6627631182122,1541845,24515,565337148.0,797601,51.73,13.45,11.65
63,63,63,30-September-2020,357.05,357.35,349.5,354.9,354.82614249371284,1027905,5799,364727566.0,674927,65.66,7.85,-2.15
64,64,64,29-September-2020,364.4,364.4,354.25,356.95,357.7292180533465,383530,5315,137199887.0,63483,16.55,10.15,-7.45
65,65,65,28-September-2020,351.9,363.95,349.2,362.9,358.873773217555,654354,8839,234830489.0,214711,32.81,14.75,11.0
66,66,66,25-September-2020,338.1,350.4,336.55,348.5,343.0510112955093,898056,14628,308079019.0,250317,27.87,13.85,10.4
67,67,67,24-September-2020,345.55,347.2,334.0,335.8,341.0940153321976,587000,10332,200222187.0,213615,36.39,13.2,-9.75
68,68,68,23-September-2020,356.65,357.2,342.45,351.7,349.8727019254874,845708,17950,295890143.0,283597,33.53,14.75,-4.95
69,69,69,22-September-2020,353.25,356.0,349.4,354.5,352.5299938841017,1501006,22708,529149636.0,406104,27.06,6.6,1.25
70,70,70,21-September-2020,366.25,368.65,349.25,350.85,358.01807539499384,1148246,30227,411092823.0,422420,36.79,19.4,-15.4
71,71,71,18-September-2020,370.85,374.6,364.8,369.9,371.2265232132402,1395389,10721,518005407.0,817099,58.56,9.8,-0.95
72,72,72,17-September-2020,369.5,371.5,367.4,368.9,369.37001249879813,561654,9620,207458145.0,139991,24.92,4.1,-0.6
73,73,73,16-September-2020,372.7,376.75,365.0,374.75,371.4264873912329,523366,6472,194391995.0,97631,18.65,11.75,2.05
74,74,74,15-September-2020,363.65,372.0,363.65,371.45,369.6242787501415,768631,9370,284104679.0,212958,27.71,8.35,7.8
75,75,75,14-September-2020,373.0,373.9,359.6,363.65,367.5202315177056,665867,8354,244719594.0,236044,35.45,14.3,-9.35
76,76,76,11-September-2020,372.5,373.9,365.1,370.15,369.61314019904967,1133788,8467,419062943.0,669093,59.01,8.8,-2.35
77,77,77,10-September-2020,372.0,375.0,365.55,370.45,371.5018831518458,1498817,17922,556813338.0,743243,49.59,9.45,-1.55
78,78,78,9-September-2020,369.3,372.35,362.1,367.75,366.9021261142845,955546,18847,350591859.0,239740,25.09,10.25,-1.55
79,79,79,8-September-2020,371.55,381.1,369.8,375.9,377.58383352837797,1430442,12089,540111774.0,739044,51.67,11.3,4.35
80,80,80,7-September-2020,373.3,376.65,369.1,373.25,373.97973464126886,1203729,16029,450170252.0,506358,42.07,7.55,-0.05
81,81,81,4-September-2020,373.1,379.3,368.7,372.8,373.8761209348739,1475108,24773,551507657.0,573379,38.87,10.6,-0.3
82,82,82,3-September-2020,392.8,392.8,381.3,382.75,385.1453887441772,563957,7356,217205438.0,155903,27.64,11.5,-10.05
83,83,83,2-September-2020,386.0,393.8,381.15,392.25,388.12376567809997,1322386,18360,513249434.0,404988,30.63,12.65,6.25
84,84,84,1-September-2020,394.15,399.6,385.25,391.1,391.7323566930989,1984081,28122,777228726.0,828395,41.75,14.35,-3.05
85,85,85,31-August-2020,415.0,422.05,387.25,395.0,402.39276843507963,3127041,47416,1258298685.0,956937,30.6,34.8,-20.0
86,86,86,28-August-2020,394.0,411.65,393.25,409.75,406.66405335944194,3676950,55336,1495283391.0,1644135,44.71,18.4,15.75
87,87,87,27-August-2020,391.0,397.4,388.2,392.45,393.6107070610621,1131048,9496,445192603.0,404944,35.8,9.2,1.45
